vocals,instrumental,score,CLAP,normalized_score,normalized_CLAP,MERT,normalized_MERT
Bam Bam - Hi-Q,Bam Bam - Hi-Q,45.75467491149902,0.9999999,-1.7494240939286416,2.1973503,0.8587324,1.5064837
Bam Bam - Hi-Q,Benji Cossa - New Flowers (Fast 4-track Version),46.14532470703125,0.2555221,-1.6207601065363626,-0.3175962,-0.90114355,-1.5679599
Bam Bam - Hi-Q,Bessie Smith - My Sweetie Went Away,44.33564376831055,0.630813,-2.2167946319515948,0.9501872,-0.9265142,-1.6122816
Bam Bam - Hi-Q,David Rovics - We Just Want The World,46.341495513916016,0.28974235,-1.5561495051424283,-0.20199557,0.44014585,0.7752272
Bam Bam - Hi-Q,deef - Ein sonniger Tag mit dir,43.76459884643555,0.4594809,-2.4048733599295513,0.37140423,0.04819274,0.090498365
Bam Bam - Hi-Q,Dragon Or Emperor - Part of Me Says,44.53178596496582,0.21014184,-2.152193453591408,-0.47089687,0.92343354,1.6195143
Bam Bam - Hi-Q,Grand Mal - Children of Light,44.772796630859375,0.36741933,-2.072814445506467,0.060407776,0.73924094,1.2977362
Bam Bam - Hi-Q,Home Blitz - Secret Wave,45.4010009765625,0.34042245,-1.86590975250592,-0.030791335,-0.902802,-1.5708572
Bam Bam - Hi-Q,Josh Woodward - Cien Volando,44.80040740966797,0.5754385,-2.06372058973808,0.76312464,-0.7868567,-1.3683047
Bam Bam - Hi-Q,Los Steaks - Sunday Girls,46.32708930969238,0.28342047,-1.5608943167353149,-0.22335172,-0.90650606,-1.5773281
Bam Bam - Hi-Q,Mia Doi Todd - I gave you my home,45.37613296508789,0.39382046,-1.8741002534390665,0.14959437,0.4763524,0.8384788
Bam Bam - Hi-Q,Orange Peels - Grey Holiday,45.5531177520752,0.05230108,-1.815808738476064,-1.0041043,-0.84866554,-1.4762826
Bam Bam - Hi-Q,Poland - Lying Machine,45.142629623413086,0.39584437,-1.951006657468718,0.15643139,-0.919094,-1.5993187
Bam Bam - Hi-Q,Shearer - Itch,45.531532287597656,0.20389813,-1.8229181033372734,-0.49198893,-0.22333734,-0.3838555
Bam Bam - Hi-Q,Short Hand - Certain Strangers,46.17709732055664,0.33849317,-1.6102955134588697,-0.037308715,0.08475873,0.15437791
Bam Bam - Hi-Q,The Cute Lepers - Young Hearts,44.556339263916016,0.0817827,-2.1441066060294816,-0.9045114,0.85905635,1.5070497
Bam Bam - Hi-Q,The Embarrassment - Patio Set,43.29886436462402,0.3825261,-2.5582671570882245,0.11144048,-0.8732964,-1.5193119
Bam Bam - Hi-Q,The J Arthur Keenes Band - The Boring World of Niels Bohr,44.14180946350098,0.1995707,-2.2806356855895005,-0.5066076,-0.24030045,-0.41348946
Bam Bam - Hi-Q,The Oranges Band - Ride the Nuclear Wave,44.30859375,0.47688478,-2.225703796258535,0.43019685,0.79068726,1.3876112
Bam Bam - Hi-Q,Wann - Happy Birthday,46.03993034362793,0.3653359,-1.6554726782546383,0.0533697,0.9359467,1.6413745
Bam Bam - Hi-Q,ZOELEELA - Jewel,45.63369178771973,0.44929692,-1.7892709626346919,0.33700135,0.41860977,0.7376044
